lipid_class,rt_win_max,rt_win_min
1G_AEG,15,1.5
1G_Cer,15,5
1G_DAG,15,1.5
1G_DEG,15,1.5
1G_MAG,15,1.5
1G_MEG,15,1.5
1G_P_AEG,20,4
1G_P_DAG,20,4
1G_P_DEG,20,4
1G_P_MAG,20,4
1G_P_MEG,20,4
2G_AEG,20,9
2G_Cer,20,9
2G_DAG,20,9
2G_DEG,20,9
2G_MAG,20,9
2G_MEG,25,15
2G_NAcG_G_DAG,25,15
2G_NAcG_G_DEG_alkanediol,25,15
2G_P_AEG,25,15
2G_P_DAG,25,15
2G_P_DEG,25,15
2G_P_MAG,25,15
2G_P_MEG,25,15
2Me_LL,20,10
2Me_OL,20,10
3G_AEG,25,12
3G_DAG,25,12
3G_DEG,25,12
3G_MAG,25,12
3G_MEG,25,12
3G_NAcG_G_DAG,25,12
3G_NAcG_G_DEG_alkanediol,25,12
3G_P_AEG,25,12
3G_P_DAG,25,12
3G_P_DEG,25,12
3G_P_MAG,25,12
3G_P_MEG,25,12
3Me_LL,20,10
3Me_OL,20,10
4G_AEG,25,12
4G_DAG,25,12
4G_DEG,25,12
4G_MAG,25,12
4G_MEG,25,12
4G_P_AEG,25,12
4G_P_DAG,25,12
4G_P_DEG,25,12
4G_P_MAG,25,12
4G_P_MEG,25,12
ALI_AEG,20,5
ALI_DAG,20,5
ALI_DEG,20,5
ALI_MAG,20,5
ALI_MEG,20,5
AlPG_AEG,20,5
AlPG_DAG,20,5
AlPG_DEG,20,5
AlPG_MAG,20,5
AlPG_MEG,20,5
APG_TAG,15,5
APT_AEG,20,10
APT_DAG,20,10
APT_DEG,20,10
APT_MAG,20,10
APT_MEG,20,10
ArPG_AEG,20,5
ArPG_DAG,20,5
ArPG_DEG,20,5
ArPG_MAG,20,5
ArPG_MEG,20,5
C16PAF,13,12
CL,25,5
CYL,25,5
d2G_AEG,25,5
d2G_DAG,25,5
d2G_DEG,25,5
d2G_MAG,25,5
d2G_MEG,25,5
d3G_AEG,25,5
d3G_DAG,25,5
d3G_DEG,25,5
d3G_MAG,25,5
d3G_MEG,25,5
d7_PC,11.83,9.83
d7_PE,13.55,10.55
d7_PG,11,9
d9_DGTS,8.95,6.95
dG_AEG,15,1.5
dG_DAG,15,1.5
dG_DEG,15,1.5
dG_G_AEG,25,10
dG_G_DAG,25,10
dG_G_DEG,25,10
dG_G_MAG,25,10
dG_G_MEG,25,10
dG_MAG,15,1.5
dG_MEG,15,1.5
DGCC_AEG,20,5
DGCC_DAG,20,5
DGCC_DEG,20,5
DGCC_MAG,20,5
DGCC_MEG,20,5
DGTS_DGTA_AEG,15,5
DGTS_DGTA_DAG,15,5
DGTS_DGTA_DEG,15,5
DGTS_DGTA_MAG,15,5
DGTS_DGTA_MEG,15,5
DPG_QAG,25,10
DPG_QEG,25,10
DPG_TAG,25,10
DPG_TEG,25,10
FL,25,5
G_DPG_QAG,25,10
G_DPG_QEG,25,10
G_DPG_TAG,25,10
G_DPG_TEG,25,10
G_GA_AEG,20,5
G_GA_DAG,20,5
G_GA_DEG,20,5
G_GA_MAG,20,5
G_GA_MEG,20,5
G_MeNG_G_P_AEG,25,10
G_MeNG_G_P_DAG,25,10
G_MeNG_G_P_DEG,25,10
G_MeNG_G_P_MAG,25,10
G_MeNG_G_P_MEG,25,10
G_NAcG_G_DAG,25,10
